id|folder|signer|sentence|zh_sentence|zh_gloss
Alex_He_has_a_job_001|Alex_He_has_a_job_001/1/*.png|Alex|He has a job|他有工作|他 工作 有
Alex_He_has_a_job_002|Alex_He_has_a_job_002/1/*.png|Alex|He has a job|他有工作|他 工作 有
Alex_He_has_a_job_003|Alex_He_has_a_job_003/1/*.png|Alex|He has a job|他有工作|他 工作 有
Alex_He_has_a_job_004|Alex_He_has_a_job_004/1/*.png|Alex|He has a job|他有工作|他 工作 有
Alex_He_has_a_job_005|Alex_He_has_a_job_005/1/*.png|Alex|He has a job|他有工作|他 工作 有
Alex_He_has_a_job_006|Alex_He_has_a_job_006/1/*.png|Alex|He has a job|他有工作|他 工作 有
Alex_He_has_a_job_007|Alex_He_has_a_job_007/1/*.png|Alex|He has a job|他有工作|他 工作 有
Alex_He_has_a_job_008|Alex_He_has_a_job_008/1/*.png|Alex|He has a job|他有工作|他 工作 有
Alex_He_has_a_job_009|Alex_He_has_a_job_009/1/*.png|Alex|He has a job|他有工作|他 工作 有
Alex_He_has_a_job_010|Alex_He_has_a_job_010/1/*.png|Alex|He has a job|他有工作|他 工作 有
Alex_He_has_a_job_011|Alex_He_has_a_job_011/1/*.png|Alex|He has a job|他有工作|他 工作 有
Alex_He_has_a_job_012|Alex_He_has_a_job_012/1/*.png|Alex|He has a job|他有工作|他 工作 有
Alex_He_has_a_job_013|Alex_He_has_a_job_013/1/*.png|Alex|He has a job|他有工作|他 工作 有
Alex_He_has_a_job_014|Alex_He_has_a_job_014/1/*.png|Alex|He has a job|他有工作|他 工作 有
Alex_He_has_a_job_015|Alex_He_has_a_job_015/1/*.png|Alex|He has a job|他有工作|他 工作 有
Alex_He_has_a_job_017|Alex_He_has_a_job_017/1/*.png|Alex|He has a job|他有工作|他 工作 有
Alex_He_has_a_job_018|Alex_He_has_a_job_018/1/*.png|Alex|He has a job|他有工作|他 工作 有
Alex_He_has_a_job_019|Alex_He_has_a_job_019/1/*.png|Alex|He has a job|他有工作|他 工作 有
Alex_He_has_a_job_020|Alex_He_has_a_job_020/1/*.png|Alex|He has a job|他有工作|他 工作 有
Alex_He_has_a_job_021|Alex_He_has_a_job_021/1/*.png|Alex|He has a job|他有工作|他 工作 有
Alex_He_has_a_job_022|Alex_He_has_a_job_022/1/*.png|Alex|He has a job|他有工作|他 工作 有
Alex_He_has_a_job_023|Alex_He_has_a_job_023/1/*.png|Alex|He has a job|他有工作|他 工作 有
Alex_He_has_a_job_024|Alex_He_has_a_job_024/1/*.png|Alex|He has a job|他有工作|他 工作 有
Alex_He_has_a_job_025|Alex_He_has_a_job_025/1/*.png|Alex|He has a job|他有工作|他 工作 有
Alex_He_has_a_job_026|Alex_He_has_a_job_026/1/*.png|Alex|He has a job|他有工作|他 工作 有
Alex_He_has_a_job_027|Alex_He_has_a_job_027/1/*.png|Alex|He has a job|他有工作|他 工作 有
Alex_He_has_a_job_028|Alex_He_has_a_job_028/1/*.png|Alex|He has a job|他有工作|他 工作 有
Alex_He_has_a_job_029|Alex_He_has_a_job_029/1/*.png|Alex|He has a job|他有工作|他 工作 有
Alex_He_has_a_job_030|Alex_He_has_a_job_030/1/*.png|Alex|He has a job|他有工作|他 工作 有
Alex_He_has_a_job_031|Alex_He_has_a_job_031/1/*.png|Alex|He has a job|他有工作|他 工作 有
Alex_He_has_a_job_032|Alex_He_has_a_job_032/1/*.png|Alex|He has a job|他有工作|他 工作 有
Alex_He_has_a_job_033|Alex_He_has_a_job_033/1/*.png|Alex|He has a job|他有工作|他 工作 有
Alex_He_has_a_job_034|Alex_He_has_a_job_034/1/*.png|Alex|He has a job|他有工作|他 工作 有
Alex_He_has_a_job_035|Alex_He_has_a_job_035/1/*.png|Alex|He has a job|他有工作|他 工作 有
Alex_He_has_a_job_036|Alex_He_has_a_job_036/1/*.png|Alex|He has a job|他有工作|他 工作 有
Auther_He_has_a_job_001|Auther_He_has_a_job_001/1/*.png|Auther|He has a job|他有工作|他 工作 有
Auther_He_has_a_job_002|Auther_He_has_a_job_002/1/*.png|Auther|He has a job|他有工作|他 工作 有
Auther_He_has_a_job_003|Auther_He_has_a_job_003/1/*.png|Auther|He has a job|他有工作|他 工作 有
Auther_He_has_a_job_004|Auther_He_has_a_job_004/1/*.png|Auther|He has a job|他有工作|他 工作 有
